hole,tee,teeIndex,cardMetres,localX,localZ,longitude,latitude,eastingEPSG3006,northingEPSG3006,previousLocalX,previousLocalZ,changeMetres,association,sourceReviewId,sourcePadId,associatedPadBoundaryProvenance,associatedPadRetainedHistorical,associatedPadBoundaryClearanceMetres,containingPadIds,insideSourceTracedPad,projectionRoundtripMetres,dailyMarkerVerified
1,65,0,334,50.3,-275.6,18.674505093606587,63.286975745598276,684218.3497236426,7022843.098038751,50.3,-275.6,0.0,provisional-platform,lm-2024-h01-tee-inventory,lm-h01-rear-long,reviewed-lm-orthophoto,False,1.4334937507338588,"[""lm-h01-rear-long""]",True,1.7779587579980215e-10,False
1,61,1,325,51,-266.7,18.674519080992763,63.2868957959037,684219.5607954668,7022834.241033381,51,-266.7,0.0,provisional-platform,lm-2024-h01-tee-inventory,lm-h01-rear-long,reviewed-lm-orthophoto,False,0.9148759532494581,"[""lm-h01-rear-long""]",True,0.0,False
1,58,2,312,51.397502885866906,-254.04379637747292,18.674527023887578,63.28678210381223,684220.6844931205,7022821.611636503,51.397502885866906,-254.04379637747292,0.0,provisional-platform,lm-2024-h01-tee-inventory,lm-h01-rear-long,reviewed-lm-orthophoto,False,0.6639182929919613,"[""lm-h01-rear-long""]",True,1.581952346896287e-09,False
1,55,3,302,52.07323789265331,-244.50113953340914,18.674540526411135,63.28669638105941,684221.908138634,7022812.110783843,52.07323789265331,-244.50113953340914,0.0,provisional-platform,lm-2024-h01-tee-inventory,lm-h01-rear-long,reviewed-lm-orthophoto,False,0.1976406727730541,"[""lm-h01-rear-long""]",True,1.581952346896287e-09,False
1,48,4,254,36.86380601051966,-191.33897432061733,18.67423661184365,63.28621881938844,684209.7324502919,7022758.092011875,36.86380601051966,-191.33897432061733,0.0,provisional-platform,lm-2024-h01-tee-inventory,lm-h01-forward,reviewed-lm-orthophoto,False,0.7497447258337675,"[""lm-h01-forward""]",True,8.107124523615548e-10,False
1,40,5,210,60.2,-152,18.674702915211064,63.285865432985986,684235.3477987905,7022720.105425893,60.2,-152,0.0,unresolved,,,,False,,[],False,1.581952346896287e-09,False
2,65,0,506,211.38264345331172,123.22433405349946,18.67772384380672,63.28339306203689,684402.4784527365,7022453.653688563,211.38264345331172,123.22433405349946,0.0,provisional-platform,lm-2024-h02-tee-inventory,lm-h02-rear,reviewed-lm-orthophoto,False,0.47005144428102485,"[""lm-h02-rear""]",True,7.909761734481435e-10,False
2,61,1,484,188.5,118.6,18.677266603277165,63.283434602946464,684379.305631296,7022456.961417766,188.5,118.6,0.0,provisional-platform,lm-2024-h02-tee-inventory,lm-h02-middle,reviewed-lm-orthophoto,False,0.10963775971882013,"[""lm-h02-middle""]",True,1.7779587579980215e-10,False
2,58,2,471,176.7436459403168,119.42576788583227,18.67703168804253,63.283427184981264,684367.583942103,7022455.4602995245,176.7436459403168,119.42576788583227,0.0,provisional-platform,lm-2024-h02-tee-inventory,lm-h02-middle,reviewed-lm-orthophoto,False,0.20064385791555397,"[""lm-h02-middle""]",True,1.581952346896287e-09,False
2,55,3,409,113.6,121.8,18.675769952956426,63.283405856988864,684304.5081161957,7022449.458828841,113.6,121.8,0.0,unresolved,,,,False,,[],False,0.0,False
