hole,type,name,latitude,longitude
1,tee,Tee Target,62.98160552242159,18.530780670621958
1,green,Green Center,62.98171719258006,18.532534359036042
1,green,Green Front,62.98170665478138,18.532406089290976
1,green,Green Back,62.9817265122,18.5326545822
1,waypoint,TheTipsTee Back Reach,62.98120220785502,18.52633625028428
2,tee,Tee Target,62.9811871577168,18.53184637244023
2,green,Green Center,62.97987195283357,18.530437736481993
2,green,Green Front,62.97995646487509,18.530534772245897
2,green,Green Back,62.97980693743963,18.530378251536064
2,waypoint,TheTipsTee Back Reach,62.9811871577168,18.53184637244023
3,tee,Tee Target,62.97744818248449,18.532225428734943
3,green,Green Center,62.97703827636109,18.532324194190995
3,green,Green Front,62.977105743187366,18.532311259399997
3,green,Green Back,62.9769890894586,18.53234249345494
3,waypoint,TheTipsTee Back Reach,62.97908598602571,18.53043639532201
4,tee,Tee Target,62.97967288979702,18.534380107423054
4,green,Green Center,62.980992113942,18.533494502181952
4,green,Green Front,62.980892628145874,18.53356203372703
4,green,Green Back,62.9810891627841,18.53343233513688
4,waypoint,TheTipsTee Back Reach,62.9776232248864,18.534616141816365
5,tee,Tee Target,62.98051811749517,18.538098513973083
5,green,Green Center,62.9808893301,18.539512903
5,green,Green Front,62.980822743397276,18.539266615988478
5,green,Green Back,62.98093642092274,18.53974846111068
5,waypoint,TheTipsTee Back Reach,62.98126383606814,18.53387671698364
6,tee,Tee Target,62.97831941220869,18.53814631752712
6,green,Green Center,62.977186868653625,18.538357735700007
6,green,Green Front,62.97727992654502,18.538344800972958
6,green,Green Back,62.97711330906955,18.538381399345088
6,waypoint,TheTipsTee Back Reach,62.98030079130207,18.539385498092
7,tee,Tee Target,62.9770381931364,18.537262053361626
7,green,Green Center,62.9768525153,18.5347054319
7,green,Green Front,62.976873674214445,18.535025091028697
7,green,Green Back,62.976826481991935,18.534452828034386
7,waypoint,TheTipsTee Back Reach,62.9770381931364,18.537262053361626
8,tee,Tee Target,62.97908623892319,18.534631671222684
8,green,Green Center,62.980996463,18.5335234426
8,green,Green Front,62.98089332177221,18.533585609709036
8,green,Green Back,62.98110447809285,18.533442500054107
8,waypoint,TheTipsTee Back Reach,62.9771315878074,18.534068407329556
9,tee,Tee Target,62.982475672469526,18.528264971813886
9,green,Green Center,62.9813640156,18.5253596632
9,green,Green Front,62.98142049450002,18.525518389772966
9,green,Green Back,62.981305099800004,18.525214347690135
9,waypoint,TheTipsTee Back Reach,62.98230021826583,18.532020064434736
10,tee,Tee Target,62.98389955130918,18.526900592303715
10,green,Green Center,62.98486284562879,18.5309073362541
10,green,Green Front,62.98482671539102,18.530776384345064
10,green,Green Back,62.984890447744895,18.53104097050001
10,waypoint,TheTipsTee Back Reach,62.98209752808759,18.52473873183771
11,tee,Tee Target,62.98501513629003,18.52885678752221
11,green,Green Center,62.984549313266974,18.52654424702871
11,green,Green Front,62.98457288197396,18.526676151549253
11,green,Green Back,62.9845123431,18.5263855205
11,waypoint,TheTipsTee Back Reach,62.98501513629003,18.52885678752221
12,tee,Tee Target,62.98731725483149,18.52812540929223
12,green,Green Center,62.9877225095,18.5303417788
12,green,Green Front,62.98767419295816,18.530090127399156
12,green,Green Back,62.987767171600005,18.53059343019999
12,waypoint,TheTipsTee Back Reach,62.98548863978177,18.526054743932733
13,tee,Tee Target,62.986114428732265,18.53028679348993
13,green,Green Center,62.985190541966254,18.53081739461804
13,green,Green Front,62.98526893256478,18.530772273318863
13,green,Green Back,62.98513773595599,18.530859833672114
13,waypoint,TheTipsTee Back Reach,62.988292626,18.5328187988
14,tee,Tee Target,62.98554750605803,18.531899665972137
14,green,Green Center,62.9868408981,18.5325965641
14,green,Green Front,62.98676212614835,18.532556807227028
14,green,Green Back,62.9869111423,18.5326443675
14,waypoint,TheTipsTee Back Reach,62.9855487243582,18.531902348181152
15,tee,Tee Target,62.985656738668226,18.53717107151601
15,green,Green Center,62.98505569335867,18.53791356721637
15,green,Green Front,62.98513043027809,18.5378201660893
15,green,Green Back,62.985000449637916,18.53799623935327
15,waypoint,TheTipsTee Back Reach,62.98712109332887,18.534006064878437
16,tee,Tee Target,62.98242156524248,18.538842952599985
16,green,Green Center,62.98173880756424,18.53784201239099
16,green,Green Front,62.98182574662355,18.5379765991287
16,green,Green Back,62.98166283465157,18.537726201170454
16,waypoint,TheTipsTee Back Reach,62.984478203649616,18.538816130509836
17,tee,Tee Target,62.98260268218456,18.53483391497639
17,green,Green Center,62.983855989900015,18.532690353718856
17,green,Green Front,62.98380524096376,18.532776660666443
17,green,Green Back,62.98391404906152,18.532585271280304
17,waypoint,TheTipsTee Back Reach,62.98145734210081,18.537221080999643
18,tee,Tee Target,62.98316638384738,18.527477480551447
18,green,Green Center,62.9817257719,18.5252762517
18,green,Green Front,62.98182733208474,18.525437660590985
18,green,Green Back,62.98164127008021,18.525152393827057
18,waypoint,TheTipsTee Back Reach,62.983622061708864,18.531189657828058
