hole,type,name,latitude,longitude
1,tee,Tee Target,63.303537882877656,18.937994754430466
1,green,Green Center,63.3041167466,18.9375141628
1,green,Green Front,63.3040102466,18.9376111986
1,green,Green Back,63.3041943266,18.9374332203
1,waypoint,TheTipsTee Back Reach,63.30177006503156,18.939507520314866
2,tee,Tee Target,63.30485780917075,18.933851606395855
2,green,Green Center,63.3046823452,18.9325314833
2,green,Green Front,63.3047035734,18.9328109093
2,green,Green Back,63.3046611172,18.9322466929
2,waypoint,TheTipsTee Back Reach,63.30434328481936,18.937995619323864
3,tee,Tee Target,63.3044389399,18.932117082
3,green,Green Center,63.3033476636,18.931671359
3,green,Green Front,63.3034845785,18.9317308439
3,green,Green Back,63.303232439,18.931622603
3,waypoint,TheTipsTee Back Reach,63.3044389399,18.932117082
4,tee,Tee Target,63.30310665714229,18.936841316879594
4,green,Green Center,63.3014754434,18.9386593784
4,green,Green Front,63.3015689882,18.9385472019
4,green,Green Back,63.3013794883,18.9387661905
4,waypoint,TheTipsTee Back Reach,63.30403211111094,18.933311529815995
5,tee,Tee Target,63.302073169668475,18.94337872511303
5,green,Green Center,63.3021049566,18.9463072211
5,green,Green Front,63.3020972713,18.9459751035
5,green,Green Back,63.3021005913,18.9466071523
5,waypoint,TheTipsTee Back Reach,63.302073169668475,18.94337872511303
6,tee,Tee Target,63.30128790116875,18.9496854634257
6,green,Green Center,63.3009195853,18.9507900572
6,green,Green Front,63.3009818007,18.9505544991
6,green,Green Back,63.3008621905,18.9510148865
6,waypoint,TheTipsTee Back Reach,63.30257011351686,18.946230778214517
7,tee,Tee Target,63.29847789045884,18.94914720426821
7,green,Green Center,63.2977997805,18.9479544861
7,green,Green Front,63.2979331209,18.94820709
7,green,Green Back,63.2976784924,18.9477287042
7,waypoint,TheTipsTee Back Reach,63.300365220597975,18.950976470816368
8,tee,Tee Target,63.29995952459127,18.94940958443013
8,green,Green Center,63.3006131706,18.9501681733
8,green,Green Front,63.3005307691,18.9500935478
8,green,Green Back,63.3006979824,18.9502910787
8,waypoint,TheTipsTee Back Reach,63.29811917251873,18.947384516623885
9,tee,Tee Target,63.301439886068664,18.94441349390776
9,green,Green Center,63.3010064955,18.9402529115
9,green,Green Front,63.3010349672,18.9406396258
9,green,Green Back,63.3009828446,18.9398876548
9,waypoint,TheTipsTee Back Reach,63.30101086469397,18.948544095790695
10,tee,Tee Target,63.30026894937836,18.94555966200411
10,green,Green Center,63.2998017933,18.9473938167
10,green,Green Front,63.2998399106,18.9472011739
10,green,Green Back,63.2997564452,18.947554273
10,waypoint,TheTipsTee Back Reach,63.30085223908575,18.941171568055747
11,tee,Tee Target,63.297187648526624,18.945911896279178
11,green,Green Center,63.2965709756,18.9457799917
11,green,Green Front,63.2967416896,18.9458287478
11,green,Green Back,63.2964364202,18.9457312357
11,waypoint,TheTipsTee Back Reach,63.299034086125324,18.946791660836062
12,tee,Tee Target,63.29579836092978,18.945089322890976
12,green,Green Center,63.2966991767,18.9448259902
12,green,Green Front,63.2965902605,18.9448640174
12,green,Green Back,63.296812914,18.9448147851
12,waypoint,TheTipsTee Back Reach,63.29579836092978,18.945089322890976
13,tee,Tee Target,63.29965804991616,18.94554616335839
13,green,Green Center,63.3004731913,18.9417449969
13,green,Green Front,63.3004052529,18.9419815075
13,green,Green Back,63.3005363092,18.9414655709
13,waypoint,TheTipsTee Back Reach,63.29780803651914,18.944666398801505
14,tee,Tee Target,63.29813510992642,18.93923847252266
14,green,Green Center,63.2962287874,18.9387605631
14,green,Green Front,63.2963127212,18.9387878615
14,green,Green Back,63.2961400322,18.9387332647
14,waypoint,TheTipsTee Back Reach,63.300121286,18.9416417318
15,tee,Tee Target,63.2955513867,18.9380618477
15,green,Green Center,63.2943488507,18.9394668489
15,green,Green Front,63.2944231537,18.9393868589
15,green,Green Back,63.2942793693,18.9395522033
15,waypoint,TheTipsTee Back Reach,63.2955513867,18.9380618477
16,tee,Tee Target,63.29362680474999,18.9359813182598
16,green,Green Center,63.2936947406,18.9350796198
16,green,Green Front,63.2936726112,18.9352571219
16,green,Green Back,63.2937072268,18.934918211
16,waypoint,TheTipsTee Back Reach,63.29426929391111,18.93994025876578
17,tee,Tee Target,63.2964152703225,18.937422529402983
17,green,Green Center,63.2975173513,18.9371444445
17,green,Green Front,63.2974228981,18.9371824717
17,green,Green Back,63.2976166255,18.9371010529
17,waypoint,TheTipsTee Back Reach,63.294368568733326,18.936912909690154
18,tee,Tee Target,63.29978437740942,18.939036742939784
18,green,Green Center,63.3004573079,18.9394385981
18,green,Green Front,63.3003580358,18.9393854302
18,green,Green Back,63.3005614004,18.9395078592
18,waypoint,TheTipsTee Back Reach,63.29789700922836,18.937234298481776
