hole,type,name,latitude,longitude
1,tee,Tee Target,63.28489602310085,18.67487616019815
1,green,Green Center,63.2841391757,18.6760129406
1,green,Green Front,63.2842569425,18.6757988401
1,green,Green Back,63.2840358786,18.6761948545
1,waypoint,TheTipsTee Back Reach,63.28694580871459,18.674511379772124
2,tee,Tee Target,63.28334211051698,18.672425486024114
2,green,Green Center,63.2822089752,18.6683105011
2,green,Green Front,63.2822736952,18.6685952916
2,green,Green Back,63.2821466672,18.6680310751
2,waypoint,TheTipsTee Back Reach,63.28343375604141,18.67725346225092
3,tee,Tee Target,63.284002462013234,18.671414345722706
3,green,Green Center,63.2851637136,18.6728738035
3,green,Green Front,63.2850511685,18.6727562626
3,green,Green Back,63.2852750528,18.6730074377
3,waypoint,TheTipsTee Back Reach,63.28264224639996,18.667981118183643
4,tee,Tee Target,63.2851637136,18.6715957309
4,green,Green Center,63.284084917467,18.66918126655493
4,green,Green Front,63.28415445149057,18.669350722000004
4,green,Green Back,63.28400694265529,18.66901985777295
4,waypoint,TheTipsTee Back Reach,63.2851637136,18.6715957309
5,tee,Tee Target,63.2852738443223,18.66759473989516
5,green,Green Center,63.2872926664,18.6691821314
5,green,Green Front,63.2871306908,18.6691021414
5,green,Green Back,63.2874377616,18.6692621214
5,waypoint,TheTipsTee Back Reach,63.28314676412776,18.667755672436055
6,tee,Tee Target,63.29019945983409,18.666458348140143
6,green,Green Center,63.2911378069,18.663982193
6,green,Green Front,63.2910216519,18.6642455257
6,green,Green Back,63.2912419064,18.663729589
6,waypoint,TheTipsTee Back Reach,63.28823671313573,18.66781018148365
7,tee,Tee Target,63.291374091415875,18.663076947426195
7,green,Green Center,63.2924811713,18.6645597327
7,green,Green Front,63.29239153929241,18.66441000535408
7,green,Green Back,63.2925611595,18.6646719093
7,waypoint,TheTipsTee Back Reach,63.291374091415875,18.663076947426195
8,tee,Tee Target,63.29255591113649,18.666985790859126
8,green,Green Center,63.2917607097,18.6686777884
8,green,Green Front,63.2918265872,18.66851465
8,green,Green Back,63.2916912156,18.6688221515
8,waypoint,TheTipsTee Back Reach,63.29417602909127,18.664207022319697
9,tee,Tee Target,63.290130811283234,18.673853110694836
9,green,Green Center,63.2890630656,18.6759581686
9,green,Green Front,63.2891856209,18.6757065172
9,green,Green Back,63.28894051,18.6762205488
9,waypoint,TheTipsTee Back Reach,63.291572649142445,18.670602273368786
10,tee,Tee Target,63.29160561633269,18.673660856568738
10,green,Green Center,63.2927681411,18.6692400998
10,green,Green Front,63.2926785078,18.6695248903
10,green,Green Back,63.292867418,18.6689767671
10,waypoint,TheTipsTee Back Reach,63.289671899768265,18.676407438599988
11,tee,Tee Target,63.294828215498725,18.664872122496988
11,green,Green Center,63.2950239222,18.6627741587
11,green,Green Front,63.2949656289,18.6631662375
11,green,Green Back,63.2950894477,18.6623981732
11,waypoint,TheTipsTee Back Reach,63.29340582757065,18.668181968421365
12,tee,Tee Target,63.2939173662,18.6633280349
12,green,Green Center,63.29479533422985,18.66058902323605
12,green,Green Front,63.29471293359299,18.66084162715407
12,green,Green Back,63.2948680918,18.6602988684
12,waypoint,TheTipsTee Back Reach,63.2939173662,18.6633280349
13,tee,Tee Target,63.293710467253014,18.662221147443912
13,green,Green Center,63.2920232419,18.6627302909
13,green,Green Front,63.2921747078,18.6627146739
13,green,Green Back,63.2918934745,18.6627405435
13,waypoint,TheTipsTee Back Reach,63.295067750039976,18.65878255548682
14,tee,Tee Target,63.2924620409,18.6618518674
14,green,Green Center,63.29115087110194,18.66093675791802
14,green,Green Front,63.2912637662,18.661012336
14,green,Green Back,63.2910114538,18.6608397221
14,waypoint,TheTipsTee Back Reach,63.2924620409,18.6618518674
15,tee,Tee Target,63.2895004429922,18.664711967083658
15,green,Green Center,63.2890981866,18.6644861853
15,green,Green Front,63.2892303858,18.6645671278
15,green,Green Back,63.2889732207,18.6643730562
15,waypoint,TheTipsTee Back Reach,63.29082899080691,18.66189564761802
16,tee,Tee Target,63.28859302595742,18.672697768155036
16,green,Green Center,63.2885934433,18.6740920406
16,green,Green Front,63.2885833808,18.673759923
16,green,Green Back,63.288603506,18.6744187938
16,waypoint,TheTipsTee Back Reach,63.288380831743794,18.66859398836225
17,tee,Tee Target,63.29049588750498,18.667935029852774
17,green,Green Center,63.2914438709,18.6650940942
17,green,Green Front,63.2913397707,18.6654003423
17,green,Green Back,63.291547971,18.6648200326
17,waypoint,TheTipsTee Back Reach,63.28921313788155,18.67150773226061
18,tee,Tee Target,63.290157546695916,18.67132888904689
18,green,Green Center,63.2887136444,18.6755502098
18,green,Green Front,63.288820528518166,18.675239549880292
18,green,Green Back,63.2886224335,18.67581259
18,waypoint,TheTipsTee Back Reach,63.291729578952676,18.66730557552455
