hole 1 tee golden: 298 visible objects in 219 kinds; renderer 295 draws, 33.8 M tris
  objects  instances   tris  type|tag|material|name|parent|inst|tris-each|cast|matrixAuto
      21        21       42  Sprite||SpriteNodeMaterial||||2||auto
      18        18      360  Mesh||MeshStandardNodeMaterial||||20||auto
      18        18      216  Mesh||||||12||auto
      18        18      864  Mesh||MeshStandardNodeMaterial||||48||auto
       3        67     1608  Mesh||MeshStandardNodeMaterial|||inst|24|cast|auto
       3        82      984  Mesh|plates|MeshStandardNodeMaterial|||inst|12|cast|auto
       2      5467    16401  Mesh||MeshStandardNodeMaterial|||inst|3||auto
       2         2       96  Mesh||MeshBasicNodeMaterial||tactical-guide||48||auto
       2         2       33  Line||LineBasicNodeMaterial||tactical-guide||16||auto
       2         2       48  Mesh||MeshBasicNodeMaterial||tactical-guide||24||auto
       1         1       12  Mesh||NodeMaterial|atmospheric-sky|||12||auto
       1         1   133120  Mesh|v2-terrain-tiles|MeshStandardNodeMaterial|v2-terrain-tiles|banvy-v2-terrain||133120|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|clubhouse-material-00|clubhouse||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|clubhouse-material-01|clubhouse||12|cast|auto
       1         1      108  Mesh||MeshStandardMaterial|clubhouse-material-02|clubhouse||108|cast|auto
       1         1      487  Mesh||MeshStandardMaterial|clubhouse-material-03|clubhouse||487|cast|auto
       1         1       60  Mesh||MeshStandardMaterial|clubhouse-material-04|clubhouse||60|cast|auto
       1         1      684  Mesh||MeshStandardMaterial|clubhouse-material-05|clubhouse||684|cast|auto
       1         1       58  Mesh||MeshStandardMaterial|clubhouse-material-06|clubhouse||58|cast|auto
       1         1      824  Mesh||MeshStandardMaterial|clubhouse-material-07|clubhouse||824|cast|auto
       1         1      804  Mesh||MeshStandardMaterial|clubhouse-material-08|clubhouse||804|cast|auto
       1         1     2976  Mesh||MeshStandardMaterial|clubhouse-material-09|clubhouse||2976|cast|auto
       1         1     1716  Mesh||MeshStandardMaterial|clubhouse-material-10|clubhouse||1716|cast|auto
       1         1      108  Mesh||MeshStandardMaterial|clubhouse-material-11|clubhouse||108|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|harbre-material-00|harbre||24|cast|auto
       1         1       92  Mesh||MeshStandardMaterial|harbre-material-01|harbre||92|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|harbre-material-02|harbre||12|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|harbre-material-03|harbre||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|harbre-material-04|harbre||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|harbre-material-05|harbre||12|cast|auto
       1         1      552  Mesh||MeshStandardMaterial|harbre-material-06|harbre||552|cast|auto
       1         1      470  Mesh||MeshStandardMaterial|harbre-material-07|harbre||470|cast|auto
       1         1      298  Mesh||MeshStandardMaterial|harbre-material-08|harbre||298|cast|auto
       1         1       96  Mesh||MeshStandardMaterial|harbre-material-09|harbre||96|cast|auto
       1         1      144  Mesh||MeshStandardMaterial|harbre-material-10|harbre||144|cast|auto
       1         1      432  Mesh||MeshStandardMaterial|maintenance-hall-material-00|maintenance-hall||432|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|maintenance-hall-material-01|maintenance-hall||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-hall-material-02|maintenance-hall||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-hall-material-03|maintenance-hall||12|cast|auto
       1         1      420  Mesh||MeshStandardMaterial|maintenance-hall-material-04|maintenance-hall||420|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|maintenance-hall-material-05|maintenance-hall||14|cast|auto
       1         1      688  Mesh||MeshStandardMaterial|maintenance-hall-material-06|maintenance-hall||688|cast|auto
       1         1      300  Mesh||MeshStandardMaterial|maintenance-hall-material-07|maintenance-hall||300|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-hall-material-08|maintenance-hall||12|cast|auto
       1         1      576  Mesh||MeshStandardMaterial|maintenance-long-material-00|maintenance-long||576|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|maintenance-long-material-01|maintenance-long||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-long-material-02|maintenance-long||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-long-material-03|maintenance-long||12|cast|auto
       1         1      588  Mesh||MeshStandardMaterial|maintenance-long-material-04|maintenance-long||588|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|maintenance-long-material-05|maintenance-long||14|cast|auto
