hole,tee,cardMetres,latitude,longitude,eastingEpsg3006,northingEpsg3006,coordinateBasis,reviewStatus,sourceCapturedAt,sourceKey,platformId,sourcePadId,platformBoundaryReviewed,insideAnyMappedPlatform,legacyX,legacyZ,sourcePixelAgreementMetres,serializedPositionErrorMetres,bootNormalizationErrorMetres,legacyToRuntimeBridgeResidualMetres,publishedRoutingStartErrorMetres,decorativeMarkerCount,decorativeMarkerMinimumEdgeClearanceMetres
1,tee-61,320,63.3014596895,18.9397277225,697403.84,7025244.32,reviewed-orthophoto-pixel,reviewed-platform,2022-07-03T07:37:35Z,tee-2022-hole-01,h01-tee-pad-00-lm2022-followup,h01-tee-pad-00-lm2022-followup,true,true,-78.64466227205436,-251.54863030562723,0,0,0,0.006315,0.001,2,0.656325
1,tee-57,305,63.3015340737,18.9396899512,697401.44,7025252.48,reviewed-orthophoto-pixel,reviewed-platform,2022-07-03T07:37:35Z,tee-2022-hole-01,h01-tee-pad-00-lm2022-followup,h01-tee-pad-00-lm2022-followup,true,true,-80.53396627989221,-259.8290820619681,0,0,0,0.006661,,2,0.199891
1,tee-48,270,63.3018177686,18.9394155126,697385.76,7025283.2,reviewed-orthophoto-pixel,reviewed-platform,2022-07-03T07:37:35Z,tee-2022-hole-01,h01-tee-pad-00-lm2022-followup,h01-tee-pad-00-lm2022-followup,true,true,-94.26126917162253,-291.4100048869898,0,0,0,0.008692,,2,0.199651
1,tee-41,235,63.3021564528,18.9391805511,697371.68,7025320.16,reviewed-orthophoto-pixel,visible-interior-anchor,2022-07-03T07:37:35Z,tee-2022-hole-01,,,false,false,-106.01394495751873,-329.1123282215261,0,0,0,0.010977,,0,
2,tee-61,326,63.3042201705,18.9388106717,697339.04,7025548.64,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z,hole-02-tees,h02-tee-pad-00-lm2024,h02-tee-pad-00-lm2024,true,true,-124.51515523891355,-558.8453812682073,0,0,0,0.021273,0.001,2,0.199987
2,tee-57,310,63.3042754501,18.9386310438,697329.671,7025554.238,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z,hole-02-tees,h02-tee-pad-00-lm2024,h02-tee-pad-00-lm2024,true,true,-133.5000694501196,-564.9991041323656,0,0,0,0.023117,,2,0.19994
2,tee-48,280,63.304327553,18.938043276,697299.894,7025558.225,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z,hole-02-tees,h02-tee-pad-00-lm2024,h02-tee-pad-00-lm2024,true,true,-162.89996431032534,-570.7991995282637,0,0,0,0.028741,,2,0.900792
2,tee-41,225,63.3044236795,18.9369636981,697245.199,7025565.598,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-216.9,-581.5,,0,0,0.039502,,0,
3,tee-61,137,63.304541311,18.9322408735,697008,7025564.16,reviewed-orthophoto-pixel,reviewed-platform,2022-07-03T07:37:35Z,tee-2022-hole-03,h03-tee-pad-01-lm2022-followup,h03-tee-pad-01-lm2022-followup,true,true,-453.13370271242445,-594.5947455540213,0,0,0,0.089695,0.001,2,0.840044
3,tee-57,135,63.3045125461,18.9321889983,697005.6,7025560.8,reviewed-orthophoto-pixel,reviewed-platform,2022-07-03T07:37:35Z,tee-2022-hole-03,h03-tee-pad-01-lm2022-followup,h03-tee-pad-01-lm2022-followup,true,true,-455.72847988816653,-591.3926281273777,0,0,0,0.089864,,2,4.850266
3,tee-48,120,63.3043631785,18.9321302496,697003.68,7025544,reviewed-orthophoto-pixel,reviewed-platform,2022-07-03T07:37:35Z,tee-2022-hole-03,h03-tee-pad-00-lm2022-followup,h03-tee-pad-00-lm2022-followup,true,true,-458.6670660887756,-574.7650361613972,0,0,0,0.08836,,2,2.386043
3,tee-41,120,63.3043631785,18.9321302496,697003.68,7025544,reviewed-orthophoto-pixel,reviewed-platform,2022-07-03T07:37:35Z,tee-2022-hole-03,h03-tee-pad-00-lm2022-followup,h03-tee-pad-00-lm2022-followup,true,true,-458.6670660887756,-574.7650361613972,0,0,0,0.08836,,2,2.386043
4,tee-61,465,63.3040630346,18.9324281084,697020.64,7025511.52,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z,hole-04-tees,h04-tee-pad-01-lm2024,h04-tee-pad-01-lm2024,true,true,-443.7682904755993,-541.3530078982075,0,0,0,0.080884,0.001,2,0.161214
4,tee-57,445,63.304091297,18.9325554226,697026.82,7025515.056,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z,hole-04-tees,h04-tee-pad-01-lm2024,h04-tee-pad-01-lm2024,true,true,-437.4000894320045,-544.4991779649297,0,0,0,0.079939,,2,0.512876
4,tee-48,380,63.3040209073,18.9340046302,697099.84,7025511.68,reviewed-orthophoto-pixel,visible-interior-anchor,2024-06-27T15:08:07Z,hole-04-tees,,,false,true,-364.9113329001532,-536.663401504598,0,0,0,0.064322,,2,0.199937
4,tee-41,315,63.3036430471,18.9349544849,697149.968,7025472.559,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-317.4,-494.6,,0,0,0.051282,,0,
5,tee-61,175,63.3017529922,18.942977344,697564.502,7025286.967,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z;2024-06-27T15:18:53Z,hole-05-tees,h05-tee-pad-01-lm2024,h05-tee-pad-01-lm2024,true,true,83.90004041775606,-284.1990971097343,0,0,0,0.007895,0.001114,2,0.212994
5,tee-57,160,63.3017635056,18.9431924864,697575.2,7025288.8,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z;2024-06-27T15:18:53Z,hole-05-tees,h05-tee-pad-01-lm2024,h05-tee-pad-01-lm2024,true,true,94.66137508709912,-285.3694486023039,0,0,0,0.008931,,2,2.057797
5,tee-48,130,63.301810129,18.9437933779,697604.96,7025295.84,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z;2024-06-27T15:18:53Z,hole-05-tees,h05-tee-pad-00-lm2024,h05-tee-pad-00-lm2024,true,true,124.71771340237564,-290.5595585339961,0,0,0,0.011992,,2,0.368956
5,tee-41,130,63.301810129,18.9437933779,697604.96,7025295.84,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:08:07Z;2024-06-27T15:18:53Z,hole-05-tees,h05-tee-pad-00-lm2024,h05-tee-pad-00-lm2024,true,true,124.71771340237564,-290.5595585339961,0,0,0,0.011992,,2,0.368956
6,tee-61,350,63.3027558751,18.9454187678,697679.84,7025406.08,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:18:53Z,hole-06-tees,h06-tee-pad-00-lm2024,h06-tee-pad-00-lm2024,true,true,206.01903754269074,-395.8400208309911,0,0,0,0.026942,0.001,2,0.193862
6,tee-57,320,63.3027267626,18.9457742472,697697.834,7025403.937,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:18:53Z,hole-06-tees,h06-tee-pad-00-lm2024,h06-tee-pad-00-lm2024,true,true,223.79996606340808,-392.59921277397524,0,0,0,0.029171,,2,0.190582
