course,hole,tee,longitude,latitude,easting_epsg3006,northing_epsg3006,local_x,local_z,shift_metres,coordinate_basis,interpretation_uncertainty_metres,daily_marker_position_verified
stora,3,42,17.502314962,59.839031911,640228.731,6636132.983,397.945,-3.552,10.897,guide-identified-fairway-entry,15,false
stora,4,42,17.499450441,59.837860228,640073.178,6635996.500,237.73,126.879,14.499,published-coordinate-corroborated-by-native-imagery,5,false
stora,5,42,17.497269782,59.837268703,639953.491,6635926.047,115.764,192.728,10.881,published-coordinate-corroborated-by-native-imagery,5,false
stora,7,42,17.488936145,59.836408764,639490.196,6635812.748,-350.342,288.456,11.335,published-coordinate-corroborated-by-native-imagery,5,false
stora,8,42,17.487916932,59.840087863,639417.708,6636220.134,-407.347,-121.101,7.952,published-coordinate-corroborated-by-native-imagery,5,false
stora,11,42,17.498039575,59.844103425,639967.921,6636688.464,158.819,-568.113,8.885,published-coordinate-corroborated-by-native-imagery,5,false
stora,12,42,17.492254007,59.843909469,639644.663,6636654.664,-164.771,-546.522,9.279,published-coordinate-corroborated-by-native-imagery,5,false
stora,13,42,17.489907161,59.841583672,639522.941,6636390.827,-296.032,-287.614,7.854,published-coordinate-corroborated-by-native-imagery,5,false
stora,13,51,17.489104884,59.841459073,639478.520,6636375.268,-340.904,-273.744,3.504,native-visible-tee-interior,1,false
stora,13,47,17.489104884,59.841459073,639478.520,6636375.268,-340.904,-273.744,3.504,native-visible-tee-interior,1,false
stora,15,42,17.491434715,59.840760326,639611.959,6636302.397,-210.595,-195.959,13.572,published-coordinate-corroborated-by-native-imagery,5,false
stora,15,62,17.493208249,59.841205354,639709.446,6636355.673,-111.4,-245.5,0.000,native-visible-tee-interior,1,false
mellan,2,Orange,17.505093836,59.841180920,640375.360,6636378.080,553.369,-242.78,18.477,guide-identified-fairway-entry,12,false
mellan,3,Orange,17.511183857,59.841378198,640715.680,6636412.960,893.988,-264.741,22.576,guide-identified-fairway-entry,12,false
mellan,4,Orange,17.513524934,59.840114589,640852.160,6636277.280,1024.926,-124.076,11.658,guide-identified-fairway-entry,12,false
mellan,6,Orange,17.507139172,59.836704725,640508.799,6635884.160,667.766,255.51,54.910,guide-identified-fairway-entry,15,false
mellan,8,Orange,17.504162273,59.838134127,640336.000,6636036.960,501.266,96.389,52.844,guide-identified-fairway-entry,12,false
